id,total
uk.org.publicwhip/person/24817,37008
uk.org.publicwhip/person/10218,52557
uk.org.publicwhip/person/24936,7504
uk.org.publicwhip/person/10292,37988
uk.org.publicwhip/person/10450,27718
uk.org.publicwhip/person/11145,10192
uk.org.publicwhip/person/10659,25764
uk.org.publicwhip/person/10159,41862
uk.org.publicwhip/person/10293,33998
uk.org.publicwhip/person/10327,21207
uk.org.publicwhip/person/10579,50941
uk.org.publicwhip/person/10577,43038
uk.org.publicwhip/person/10308,15157
uk.org.publicwhip/person/24811,37481
uk.org.publicwhip/person/24739,51362
uk.org.publicwhip/person/12005,65126
uk.org.publicwhip/person/24793,54561
uk.org.publicwhip/person/10068,28684
uk.org.publicwhip/person/24828,26050
uk.org.publicwhip/person/10415,33019
uk.org.publicwhip/person/24735,54763
uk.org.publicwhip/person/10008,45838
uk.org.publicwhip/person/10062,25033
uk.org.publicwhip/person/24883,58211
uk.org.publicwhip/person/24835,56316
uk.org.publicwhip/person/10576,41355
uk.org.publicwhip/person/11406,49812
uk.org.publicwhip/person/24715,50171
uk.org.publicwhip/person/11917,27171
uk.org.publicwhip/person/11884,38527
uk.org.publicwhip/person/11610,7376
uk.org.publicwhip/person/11026,45398
uk.org.publicwhip/person/11672,59924
uk.org.publicwhip/person/24733,41926
uk.org.publicwhip/person/10713,47771
uk.org.publicwhip/person/10780,43824
uk.org.publicwhip/person/24736,63096
uk.org.publicwhip/person/24962,39891
uk.org.publicwhip/person/10260,19856
uk.org.publicwhip/person/24785,37068
uk.org.publicwhip/person/10048,45993
uk.org.publicwhip/person/24769,56741
uk.org.publicwhip/person/24953,22397
uk.org.publicwhip/person/11421,49600
uk.org.publicwhip/person/24796,42746
uk.org.publicwhip/person/10319,48441
uk.org.publicwhip/person/10726,32636
uk.org.publicwhip/person/21873,33192
uk.org.publicwhip/person/10669,31510
uk.org.publicwhip/person/10029,34947
uk.org.publicwhip/person/11190,44794
uk.org.publicwhip/person/11265,21102
uk.org.publicwhip/person/11347,43556
uk.org.publicwhip/person/10900,46918
uk.org.publicwhip/person/11323,45504
uk.org.publicwhip/person/10180,23377
uk.org.publicwhip/person/25145,63654
uk.org.publicwhip/person/24947,33206
uk.org.publicwhip/person/11362,22319
uk.org.publicwhip/person/11553,52343
uk.org.publicwhip/person/10157,62650
uk.org.publicwhip/person/24963,58828
uk.org.publicwhip/person/11048,55600
uk.org.publicwhip/person/11057,43094
uk.org.publicwhip/person/24919,56703
uk.org.publicwhip/person/24872,60409
uk.org.publicwhip/person/24819,48560
uk.org.publicwhip/person/10357,53361
uk.org.publicwhip/person/24825,40822
uk.org.publicwhip/person/24716,46934
uk.org.publicwhip/person/10574,33413
uk.org.publicwhip/person/24957,29892
uk.org.publicwhip/person/24926,3295
uk.org.publicwhip/person/24860,53969
uk.org.publicwhip/person/10013,34032
uk.org.publicwhip/person/11640,9963
uk.org.publicwhip/person/10106,6391
uk.org.publicwhip/person/11785,30155
uk.org.publicwhip/person/10240,44678
uk.org.publicwhip/person/24855,42551
uk.org.publicwhip/person/10470,35092
uk.org.publicwhip/person/24930,46564
uk.org.publicwhip/person/11511,39458
uk.org.publicwhip/person/24719,33154
uk.org.publicwhip/person/24887,31288
uk.org.publicwhip/person/24711,50500
uk.org.publicwhip/person/11869,32748
uk.org.publicwhip/person/10133,17014
uk.org.publicwhip/person/11859,20991
uk.org.publicwhip/person/24760,36116
uk.org.publicwhip/person/11791,40056
uk.org.publicwhip/person/24827,32348
uk.org.publicwhip/person/24757,43011
uk.org.publicwhip/person/11732,36440
uk.org.publicwhip/person/10147,28651
uk.org.publicwhip/person/10170,21956
uk.org.publicwhip/person/10176,23375
uk.org.publicwhip/person/10199,24014
uk.org.publicwhip/person/11974,60398
uk.org.publicwhip/person/10453,80767
uk.org.publicwhip/person/13864,66863
uk.org.publicwhip/person/11221,65977
uk.org.publicwhip/person/24895,21229
uk.org.publicwhip/person/11971,49439
uk.org.publicwhip/person/10519,24823
uk.org.publicwhip/person/10619,34271
uk.org.publicwhip/person/10039,29970
uk.org.publicwhip/person/10715,25546
uk.org.publicwhip/person/10040,8266
uk.org.publicwhip/person/10143,19555
uk.org.publicwhip/person/10167,50505
uk.org.publicwhip/person/24839,50892
uk.org.publicwhip/person/10265,48576
uk.org.publicwhip/person/10268,74373
uk.org.publicwhip/person/11420,22955
uk.org.publicwhip/person/14131,31031
uk.org.publicwhip/person/11707,57156
uk.org.publicwhip/person/11093,38915
uk.org.publicwhip/person/10383,18140
uk.org.publicwhip/person/11924,22581
uk.org.publicwhip/person/11174,40795
uk.org.publicwhip/person/10660,4564
uk.org.publicwhip/person/10499,14020
uk.org.publicwhip/person/10684,45114
uk.org.publicwhip/person/10558,19836
uk.org.publicwhip/person/10563,6295
uk.org.publicwhip/person/24799,52442
uk.org.publicwhip/person/11280,71307
uk.org.publicwhip/person/10632,31819
uk.org.publicwhip/person/24837,35391
uk.org.publicwhip/person/10828,26398
uk.org.publicwhip/person/10604,44611
uk.org.publicwhip/person/25120,54307
uk.org.publicwhip/person/10854,19547
uk.org.publicwhip/person/24743,39619
uk.org.publicwhip/person/22650,45786
uk.org.publicwhip/person/24884,21792
uk.org.publicwhip/person/24929,54279
uk.org.publicwhip/person/10065,38255
uk.org.publicwhip/person/24892,36073
uk.org.publicwhip/person/10358,26286
uk.org.publicwhip/person/24961,23503
uk.org.publicwhip/person/24853,46060
uk.org.publicwhip/person/24710,42263
uk.org.publicwhip/person/24881,51170
uk.org.publicwhip/person/24870,25566
uk.org.publicwhip/person/11771,13079
uk.org.publicwhip/person/24725,57982
uk.org.publicwhip/person/10075,31939
uk.org.publicwhip/person/24856,42575
uk.org.publicwhip/person/24790,30808
uk.org.publicwhip/person/24767,29946
uk.org.publicwhip/person/24896,27213
uk.org.publicwhip/person/10282,5659
uk.org.publicwhip/person/11963,52372
uk.org.publicwhip/person/10542,39708
uk.org.publicwhip/person/10614,43855
uk.org.publicwhip/person/10288,23588
uk.org.publicwhip/person/11455,44686
uk.org.publicwhip/person/11003,48903
uk.org.publicwhip/person/10027,33540
uk.org.publicwhip/person/10753,44004
uk.org.publicwhip/person/11087,26823
uk.org.publicwhip/person/24923,47873
uk.org.publicwhip/person/24770,5293
uk.org.publicwhip/person/24792,35636
uk.org.publicwhip/person/10505,45112
uk.org.publicwhip/person/11651,10753
uk.org.publicwhip/person/11360,55110
uk.org.publicwhip/person/10213,47856
uk.org.publicwhip/person/24774,44015
uk.org.publicwhip/person/11607,41271
uk.org.publicwhip/person/10295,47005
uk.org.publicwhip/person/14142,51965
uk.org.publicwhip/person/24831,45189
uk.org.publicwhip/person/24816,52841
uk.org.publicwhip/person/11823,36802
uk.org.publicwhip/person/24801,42569
uk.org.publicwhip/person/10186,31840
uk.org.publicwhip/person/24833,16873
uk.org.publicwhip/person/24924,51291
uk.org.publicwhip/person/25165,11883
uk.org.publicwhip/person/11921,31804
uk.org.publicwhip/person/11641,30764
uk.org.publicwhip/person/11450,22849
uk.org.publicwhip/person/10074,74563
uk.org.publicwhip/person/11660,11314
uk.org.publicwhip/person/10633,19264
uk.org.publicwhip/person/24745,41595
uk.org.publicwhip/person/10031,19547
uk.org.publicwhip/person/24734,63128
uk.org.publicwhip/person/10281,26877
uk.org.publicwhip/person/13856,58808
uk.org.publicwhip/person/24876,36777
uk.org.publicwhip/person/10183,27974
uk.org.publicwhip/person/11389,25150
uk.org.publicwhip/person/11589,39385
uk.org.publicwhip/person/10884,18604
uk.org.publicwhip/person/10901,13277
uk.org.publicwhip/person/24824,52291
uk.org.publicwhip/person/11588,44277
uk.org.publicwhip/person/10682,31297
uk.org.publicwhip/person/10964,36506
uk.org.publicwhip/person/12016,50318
uk.org.publicwhip/person/11715,43497
uk.org.publicwhip/person/11038,29586
uk.org.publicwhip/person/24804,44311
uk.org.publicwhip/person/24880,51987
uk.org.publicwhip/person/11172,16317
uk.org.publicwhip/person/11946,59479
uk.org.publicwhip/person/24899,39381
uk.org.publicwhip/person/11224,38650
uk.org.publicwhip/person/24909,29693
uk.org.publicwhip/person/11267,58421
uk.org.publicwhip/person/11489,40653
uk.org.publicwhip/person/10096,18213
uk.org.publicwhip/person/11494,54621
uk.org.publicwhip/person/10387,21417
uk.org.publicwhip/person/24814,39675
uk.org.publicwhip/person/11898,43197
uk.org.publicwhip/person/24927,49247
uk.org.publicwhip/person/24773,46023
uk.org.publicwhip/person/24955,19893
uk.org.publicwhip/person/11605,21990
uk.org.publicwhip/person/11128,43482
uk.org.publicwhip/person/24914,32114
uk.org.publicwhip/person/10088,40910
uk.org.publicwhip/person/10128,63533
uk.org.publicwhip/person/24762,33184
uk.org.publicwhip/person/24866,24584
uk.org.publicwhip/person/10193,24761
uk.org.publicwhip/person/10194,8077
uk.org.publicwhip/person/11858,18170
uk.org.publicwhip/person/24717,59416
uk.org.publicwhip/person/10427,32548
uk.org.publicwhip/person/10439,56341
uk.org.publicwhip/person/10913,16402
uk.org.publicwhip/person/24934,27263
uk.org.publicwhip/person/10219,25246
uk.org.publicwhip/person/10258,24561
uk.org.publicwhip/person/25175,1539
uk.org.publicwhip/person/24889,45701
uk.org.publicwhip/person/10650,40698
uk.org.publicwhip/person/24822,59567
uk.org.publicwhip/person/11397,35473
uk.org.publicwhip/person/13814,44412
uk.org.publicwhip/person/11534,53980
uk.org.publicwhip/person/22046,48747
uk.org.publicwhip/person/24779,30827
uk.org.publicwhip/person/11692,29358
uk.org.publicwhip/person/10555,23853
uk.org.publicwhip/person/24859,53161
uk.org.publicwhip/person/10225,43076
uk.org.publicwhip/person/10262,56799
uk.org.publicwhip/person/11377,11076
uk.org.publicwhip/person/11792,26928
uk.org.publicwhip/person/10498,15029
uk.org.publicwhip/person/24728,42474
uk.org.publicwhip/person/24732,50852
uk.org.publicwhip/person/24842,38541
uk.org.publicwhip/person/24878,50814
uk.org.publicwhip/person/10857,54630
uk.org.publicwhip/person/10190,44902
uk.org.publicwhip/person/24965,31181
uk.org.publicwhip/person/10022,59599
uk.org.publicwhip/person/11032,42265
uk.org.publicwhip/person/24898,46489
uk.org.publicwhip/person/10267,28552
uk.org.publicwhip/person/10355,14587
uk.org.publicwhip/person/10473,23643
uk.org.publicwhip/person/24797,47461
uk.org.publicwhip/person/24737,69019
uk.org.publicwhip/person/10858,9909
uk.org.publicwhip/person/24917,49926
uk.org.publicwhip/person/11936,37157
uk.org.publicwhip/person/10397,43972
uk.org.publicwhip/person/11109,35788
uk.org.publicwhip/person/10041,20271
uk.org.publicwhip/person/24943,53191
uk.org.publicwhip/person/10080,30729
uk.org.publicwhip/person/10882,43791
uk.org.publicwhip/person/10203,17699
uk.org.publicwhip/person/10232,48434
uk.org.publicwhip/person/13904,18250
uk.org.publicwhip/person/24764,50949
uk.org.publicwhip/person/10454,36395
uk.org.publicwhip/person/24886,32458
uk.org.publicwhip/person/24821,44217
uk.org.publicwhip/person/24938,58157
uk.org.publicwhip/person/11333,64279
uk.org.publicwhip/person/24904,46956
uk.org.publicwhip/person/11915,55466
uk.org.publicwhip/person/10057,14596
uk.org.publicwhip/person/10252,40721
uk.org.publicwhip/person/10362,19540
uk.org.publicwhip/person/10373,45835
uk.org.publicwhip/person/10583,36172
uk.org.publicwhip/person/13933,60222
uk.org.publicwhip/person/11816,52707
uk.org.publicwhip/person/11696,22345
uk.org.publicwhip/person/10257,8162
uk.org.publicwhip/person/11661,9167
uk.org.publicwhip/person/24765,46217
uk.org.publicwhip/person/24778,26558
uk.org.publicwhip/person/24851,45425
uk.org.publicwhip/person/24731,7717
uk.org.publicwhip/person/24920,26816
uk.org.publicwhip/person/10707,54150
uk.org.publicwhip/person/11727,20849
uk.org.publicwhip/person/10076,37035
uk.org.publicwhip/person/24903,18226
uk.org.publicwhip/person/24787,39698
uk.org.publicwhip/person/24921,32826
uk.org.publicwhip/person/24954,34448
uk.org.publicwhip/person/10468,23196
uk.org.publicwhip/person/10537,15276
uk.org.publicwhip/person/11773,29783
uk.org.publicwhip/person/24843,41436
uk.org.publicwhip/person/11843,67440
uk.org.publicwhip/person/11804,47164
uk.org.publicwhip/person/24784,68912
uk.org.publicwhip/person/10552,60860
uk.org.publicwhip/person/10582,40924
uk.org.publicwhip/person/10620,28392
uk.org.publicwhip/person/11558,29252
uk.org.publicwhip/person/24862,29668
uk.org.publicwhip/person/10217,28587
uk.org.publicwhip/person/10231,20665
uk.org.publicwhip/person/11324,48314
uk.org.publicwhip/person/10089,56088
uk.org.publicwhip/person/24964,49688
uk.org.publicwhip/person/11667,31139
uk.org.publicwhip/person/10648,39937
uk.org.publicwhip/person/24958,29118
uk.org.publicwhip/person/10070,55604
uk.org.publicwhip/person/11878,34145
uk.org.publicwhip/person/24854,24452
uk.org.publicwhip/person/24789,13950
uk.org.publicwhip/person/11374,41399
uk.org.publicwhip/person/10467,52291
uk.org.publicwhip/person/25168,29058
uk.org.publicwhip/person/24948,30864
uk.org.publicwhip/person/11350,33443
uk.org.publicwhip/person/24761,38873
uk.org.publicwhip/person/25150,22469
uk.org.publicwhip/person/24788,41023
uk.org.publicwhip/person/11475,17778
uk.org.publicwhip/person/11592,53841
uk.org.publicwhip/person/10651,26458
uk.org.publicwhip/person/24763,39829
uk.org.publicwhip/person/24875,49437
uk.org.publicwhip/person/10079,17660
uk.org.publicwhip/person/24808,66642
uk.org.publicwhip/person/24813,62833
uk.org.publicwhip/person/10298,25795
uk.org.publicwhip/person/24900,48912
uk.org.publicwhip/person/24858,36405
uk.org.publicwhip/person/24874,40330
uk.org.publicwhip/person/10381,34665
uk.org.publicwhip/person/24949,19924
uk.org.publicwhip/person/24916,45862
uk.org.publicwhip/person/11768,47815
uk.org.publicwhip/person/10175,30475
uk.org.publicwhip/person/25166,22861
uk.org.publicwhip/person/24928,65854
uk.org.publicwhip/person/11927,11649
uk.org.publicwhip/person/10274,47731
uk.org.publicwhip/person/24754,49228
uk.org.publicwhip/person/10377,30343
uk.org.publicwhip/person/24888,18372
uk.org.publicwhip/person/24749,26991
uk.org.publicwhip/person/24750,37496
uk.org.publicwhip/person/24836,23918
uk.org.publicwhip/person/10484,15238
uk.org.publicwhip/person/10596,17132
uk.org.publicwhip/person/10611,38533
uk.org.publicwhip/person/11458,53901
uk.org.publicwhip/person/24901,47247
uk.org.publicwhip/person/25170,2192
uk.org.publicwhip/person/24935,53289
uk.org.publicwhip/person/10626,45916
uk.org.publicwhip/person/11973,56835
uk.org.publicwhip/person/11759,39959
uk.org.publicwhip/person/24864,44445
uk.org.publicwhip/person/10036,18533
uk.org.publicwhip/person/24956,14424
uk.org.publicwhip/person/10326,25858
uk.org.publicwhip/person/24942,50629
uk.org.publicwhip/person/10426,7005
uk.org.publicwhip/person/11500,13927
uk.org.publicwhip/person/24771,54445
uk.org.publicwhip/person/24730,66906
uk.org.publicwhip/person/11923,58474
uk.org.publicwhip/person/10371,49512
uk.org.publicwhip/person/10658,41681
uk.org.publicwhip/person/11437,53983
uk.org.publicwhip/person/24845,44713
uk.org.publicwhip/person/24848,25369
uk.org.publicwhip/person/10063,33913
uk.org.publicwhip/person/10116,45187
uk.org.publicwhip/person/24714,73037
uk.org.publicwhip/person/10941,64216
uk.org.publicwhip/person/11309,43689
uk.org.publicwhip/person/10023,16381
uk.org.publicwhip/person/10834,30289
uk.org.publicwhip/person/10367,30191
uk.org.publicwhip/person/24871,38599
uk.org.publicwhip/person/24850,43598
uk.org.publicwhip/person/24852,32158
uk.org.publicwhip/person/10121,25777
uk.org.publicwhip/person/10084,26427
uk.org.publicwhip/person/13934,27512
uk.org.publicwhip/person/10842,41932
uk.org.publicwhip/person/10251,12771
uk.org.publicwhip/person/10679,62146
uk.org.publicwhip/person/24775,32837
uk.org.publicwhip/person/10131,36647
uk.org.publicwhip/person/24805,46164
uk.org.publicwhip/person/24911,0
