id,total
uk.org.publicwhip/person/11929,604
uk.org.publicwhip/person/11599,42179
uk.org.publicwhip/person/10683,37547
uk.org.publicwhip/person/10527,49532
uk.org.publicwhip/person/24844,64160
uk.org.publicwhip/person/10034,53085
uk.org.publicwhip/person/10086,43926
uk.org.publicwhip/person/10179,36249
uk.org.publicwhip/person/10263,35491
uk.org.publicwhip/person/10314,39007
uk.org.publicwhip/person/10428,41004
uk.org.publicwhip/person/11185,69755
uk.org.publicwhip/person/10630,39115
uk.org.publicwhip/person/11402,36721
uk.org.publicwhip/person/11148,41689
uk.org.publicwhip/person/24893,45847
uk.org.publicwhip/person/24742,41424
uk.org.publicwhip/person/24897,58399
uk.org.publicwhip/person/11760,32193
uk.org.publicwhip/person/10770,42947
uk.org.publicwhip/person/10785,96136
uk.org.publicwhip/person/10153,47075
uk.org.publicwhip/person/24902,29839
uk.org.publicwhip/person/24740,53978
uk.org.publicwhip/person/10431,37448
uk.org.publicwhip/person/24795,33880
uk.org.publicwhip/person/24738,62530
uk.org.publicwhip/person/24829,19450
uk.org.publicwhip/person/24748,42750
uk.org.publicwhip/person/24741,41215
uk.org.publicwhip/person/10222,58300
uk.org.publicwhip/person/24826,43410
uk.org.publicwhip/person/11531,44404
uk.org.publicwhip/person/24758,36181
uk.org.publicwhip/person/10349,32304
uk.org.publicwhip/person/10435,32449
uk.org.publicwhip/person/11115,35962
uk.org.publicwhip/person/11132,31238
uk.org.publicwhip/person/24832,30948
uk.org.publicwhip/person/10503,17130
uk.org.publicwhip/person/11199,27481
uk.org.publicwhip/person/11216,24931
uk.org.publicwhip/person/10545,27116
uk.org.publicwhip/person/24759,38434
uk.org.publicwhip/person/10578,38611
uk.org.publicwhip/person/11291,48033
uk.org.publicwhip/person/10613,26129
uk.org.publicwhip/person/10766,45537
uk.org.publicwhip/person/25167,27961
uk.org.publicwhip/person/11559,28846
uk.org.publicwhip/person/10182,26251
uk.org.publicwhip/person/11814,42920
uk.org.publicwhip/person/11308,21874
uk.org.publicwhip/person/24952,10520
uk.org.publicwhip/person/12004,71850
uk.org.publicwhip/person/11189,60533
uk.org.publicwhip/person/10120,29636
uk.org.publicwhip/person/10122,35937
uk.org.publicwhip/person/11076,61497
uk.org.publicwhip/person/24772,50350
uk.org.publicwhip/person/10032,57751
uk.org.publicwhip/person/11798,17879
uk.org.publicwhip/person/10388,56646
uk.org.publicwhip/person/10389,34916
uk.org.publicwhip/person/11603,20521
uk.org.publicwhip/person/10754,35133
uk.org.publicwhip/person/10436,41796
uk.org.publicwhip/person/11943,30915
uk.org.publicwhip/person/10220,23841
uk.org.publicwhip/person/10534,38621
uk.org.publicwhip/person/10061,38206
uk.org.publicwhip/person/24922,48076
uk.org.publicwhip/person/11668,58457
uk.org.publicwhip/person/10312,16321
uk.org.publicwhip/person/24905,48602
uk.org.publicwhip/person/11318,21268
uk.org.publicwhip/person/10005,31519
uk.org.publicwhip/person/24945,35527
uk.org.publicwhip/person/13736,43978
uk.org.publicwhip/person/10521,34111
uk.org.publicwhip/person/24907,19070
uk.org.publicwhip/person/24879,45492
uk.org.publicwhip/person/11742,41046
uk.org.publicwhip/person/24709,55762
uk.org.publicwhip/person/11443,21015
uk.org.publicwhip/person/24873,40194
uk.org.publicwhip/person/10202,30726
uk.org.publicwhip/person/24910,23283
uk.org.publicwhip/person/24809,42515
uk.org.publicwhip/person/10559,22654
uk.org.publicwhip/person/24818,58351
uk.org.publicwhip/person/24726,54506
uk.org.publicwhip/person/10955,31239
uk.org.publicwhip/person/10334,72044
uk.org.publicwhip/person/11461,11889
uk.org.publicwhip/person/24777,20936
uk.org.publicwhip/person/24891,44602
uk.org.publicwhip/person/10228,42656
uk.org.publicwhip/person/24691,36611
uk.org.publicwhip/person/10761,43216
uk.org.publicwhip/person/24721,46211
uk.org.publicwhip/person/10920,21526
uk.org.publicwhip/person/24841,40592
uk.org.publicwhip/person/24838,35421
uk.org.publicwhip/person/10518,52504
uk.org.publicwhip/person/24713,36565
uk.org.publicwhip/person/24959,44072
uk.org.publicwhip/person/24830,59954
uk.org.publicwhip/person/10103,25478
uk.org.publicwhip/person/10354,33428
uk.org.publicwhip/person/24950,26807
uk.org.publicwhip/person/24915,33609
uk.org.publicwhip/person/10045,50788
uk.org.publicwhip/person/10185,25555
uk.org.publicwhip/person/24780,34385
uk.org.publicwhip/person/11734,12988
uk.org.publicwhip/person/24944,45091
uk.org.publicwhip/person/10051,26869
uk.org.publicwhip/person/10944,46743
uk.org.publicwhip/person/24744,45745
uk.org.publicwhip/person/10241,35496
uk.org.publicwhip/person/24782,17142
uk.org.publicwhip/person/25067,50162
uk.org.publicwhip/person/11513,45819
uk.org.publicwhip/person/11817,60411
uk.org.publicwhip/person/24756,53426
uk.org.publicwhip/person/11995,50334
uk.org.publicwhip/person/10625,24683
uk.org.publicwhip/person/10009,44759
uk.org.publicwhip/person/11427,42630
uk.org.publicwhip/person/10050,36505
uk.org.publicwhip/person/11573,18026
uk.org.publicwhip/person/10777,7039
uk.org.publicwhip/person/10141,48876
uk.org.publicwhip/person/11719,48278
uk.org.publicwhip/person/10162,45046
uk.org.publicwhip/person/11408,9523
uk.org.publicwhip/person/11633,17714
uk.org.publicwhip/person/10934,58743
uk.org.publicwhip/person/10259,47612
uk.org.publicwhip/person/10269,51266
uk.org.publicwhip/person/10961,38910
uk.org.publicwhip/person/11506,39882
uk.org.publicwhip/person/10678,27701
uk.org.publicwhip/person/11036,30655
uk.org.publicwhip/person/10361,25253
uk.org.publicwhip/person/11113,22809
uk.org.publicwhip/person/20359,86890
uk.org.publicwhip/person/24932,32032
uk.org.publicwhip/person/11970,62472
uk.org.publicwhip/person/24877,41252
uk.org.publicwhip/person/10520,56861
uk.org.publicwhip/person/24820,40531
uk.org.publicwhip/person/11892,62994
uk.org.publicwhip/person/10602,46822
uk.org.publicwhip/person/24946,43246
uk.org.publicwhip/person/10637,40394
uk.org.publicwhip/person/10645,19622
uk.org.publicwhip/person/11340,35341
uk.org.publicwhip/person/10489,39037
uk.org.publicwhip/person/25034,76207
uk.org.publicwhip/person/10401,25645
uk.org.publicwhip/person/10544,11520
uk.org.publicwhip/person/10610,42615
uk.org.publicwhip/person/10580,11747
uk.org.publicwhip/person/11647,48248
uk.org.publicwhip/person/10001,25131
uk.org.publicwhip/person/10243,18142
uk.org.publicwhip/person/24815,13172
uk.org.publicwhip/person/10208,54171
uk.org.publicwhip/person/10661,32316
uk.org.publicwhip/person/11621,45937
uk.org.publicwhip/person/24865,35705
uk.org.publicwhip/person/10155,28767
uk.org.publicwhip/person/10221,29306
uk.org.publicwhip/person/10352,22945
uk.org.publicwhip/person/11545,27487
uk.org.publicwhip/person/14128,27961
uk.org.publicwhip/person/11905,23097
uk.org.publicwhip/person/24812,52737
uk.org.publicwhip/person/10348,20491
uk.org.publicwhip/person/10368,45437
uk.org.publicwhip/person/24941,28550
uk.org.publicwhip/person/11656,28645
uk.org.publicwhip/person/24868,52367
uk.org.publicwhip/person/10685,72576
uk.org.publicwhip/person/24967,16897
uk.org.publicwhip/person/10477,9202
uk.org.publicwhip/person/24882,52175
uk.org.publicwhip/person/10256,29699
uk.org.publicwhip/person/24857,32855
uk.org.publicwhip/person/10402,35339
uk.org.publicwhip/person/10423,28002
uk.org.publicwhip/person/10171,3513
uk.org.publicwhip/person/10174,56147
uk.org.publicwhip/person/10197,16596
uk.org.publicwhip/person/10517,59831
uk.org.publicwhip/person/24803,39622
uk.org.publicwhip/person/10593,23820
uk.org.publicwhip/person/10575,53352
uk.org.publicwhip/person/24863,30305
uk.org.publicwhip/person/24847,17688
uk.org.publicwhip/person/24729,48974
uk.org.publicwhip/person/24918,53861
uk.org.publicwhip/person/10119,24726
uk.org.publicwhip/person/11541,44862
uk.org.publicwhip/person/10506,27638
uk.org.publicwhip/person/24933,20775
